date,exchange,project,price_usd,price_orig,price_orig_symb,token_id,seller,buyer,tx_hash,used
2021-01-10 00:00:00+00:00,DCL MarketPlace,Decentraland,1470.516,12000.0,MANA,115792089237316195423570985008687907834894736851909887012435355206597646221309,0x9bb319c64fa3e5a47145e86dba65e0d85585b22,0x8da07abd9d3eabecf6dfe78321e129148b9fda0,0xe797c1c520888f498c0706a69112c7d1e064c79e0027629793e49a9a1f9b320,True
2021-01-10 00:00:00+00:00,DCL MarketPlace,Decentraland,1225.43,8000.0,MANA,45257554800484815640628822788425172123630,0x903410e1431f279fb1316c831a1f8899498f318,0xf0aff01c9a35f1752a83aadb3c0763c83cc83c0,0x66607569092400a0fb4ff0322b7f20e3257ced8cf84a97f97539b718fe5ae0a,True
2021-01-10 00:00:00+00:00,DCL MarketPlace,Decentraland,980.221457,16500.0,MANA,45597837167405754104092197395856940335079,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0x9b6207d69a5d7da4d1cee426f9b5bb6f5c6ff2c,0x75f4a5c3c7e2901a8461a4de6ad6113c16b7aafcd234b763d666da523ded975,True
2021-01-11 00:00:00+00:00,DCL MarketPlace,Decentraland,968.535373,21800.0,MANA,51042355038140769519506191114765231718408,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0x7fcfd1e596cda4ae61cecea8ffeaf3a48d07765,0x2f007b7f4c22b12db9f55152888361966ed0248d839c229c8c63dd470602976,True
2021-01-11 00:00:00+00:00,DCL MarketPlace,Decentraland,1474.4899,8888.0,MANA,115792089237316195423570985008687907847144902061063671697116841074141301833671,0xe77ab4076b9770c05ff7dc65f8b1b27a47b68a1,0x14aa530f606ae4c02401ca031c4448cd9ee09f3,0x2f91d540a9e5516fe35ac9904e701b8f1c100370db628bd7a5540667da55cab,True
2021-01-12 00:00:00+00:00,DCL MarketPlace,Decentraland,1798.26,9000.0,MANA,6465364971497830805804117541203596017684,0xb2000016f110f9429411f6e6e9619d76e76cbc2,0x20468255201d4c4d6b8af2bd0f798043a48cddd,0x2dedf86c08bd463add0813b682af7195b81fbcd706e973ffa0f228ddad7b1cc,True
2021-01-12 00:00:00+00:00,DCL MarketPlace,Decentraland,1431.41496,15000.0,MANA,29264283555200707857850216239132066185253,0x041acfafe42a75b9d1c9eed7d521641f730f8ee,0xb096e691b197e4622bc0033a2efda76082b3378,0xd50e2e5e1bea89b1700c2ac166b699aff69a830825b16a7df624751caec6468,True
2021-01-12 00:00:00+00:00,DCL MarketPlace,Decentraland,1438.608,13000.0,MANA,2041694201525630780780247644590609268690,0xb375e0c12bfa084d269dcbf412ea1d6b100aae5,0x4d63e26b8ffe4cd997032d4004e9956c363f21a,0x3ece24acf53012e94f512ab91f1287e7835380ffbc30243ff142a72a9f38957,True
2021-01-12 00:00:00+00:00,DCL MarketPlace,Decentraland,958.952116,8000.0,MANA,44576990066642938713702073573561635700711,0x46b7baea7b54938722b6cf6baf010b23ea95dd7,0x387700c0e136277290519606b287edefa85e5c4,0x7f8725dee5d23652b1ebed3e897d42fdbcbfe13d7c211f4246877210065731f,True
2021-01-13 00:00:00+00:00,DCL MarketPlace,Decentraland,1902.0375,13000.0,MANA,1361129467683753853853498429727072845777,0x83b7b6f360a9895d163ea797d9b939b9173b292,0xc454e2b4ebb3c74b2caf83e74067a8055b375e4,0x1c03490597e45042c9d76767ae3fabdfb77cf51d19a4aa60223ebefb86add03,True
